자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,용인예술과학대학교,레크리에이션 교육기관,경기도,법인,130,17391440,2,80
2026-07,(주)제놀루션,기타 인문 및 사회과학 연구개발업,서울특별시,법인,79,29715860,4,4
2026-07,주식회사에스제이금속,1차 금속제품 도매업,전남광주통합특별시,법인,65,30346560,2,1
2026-07,세인관세법인 공항,통관 대리 및 관련서비스업,인천광역시,법인,63,22882120,1,1
2026-07,(주)윌링투,광고 대행업,서울특별시,법인,36,13722160,1,1
2026-07,그린푸드서비스,BIZ_NO미존재사업장,경상남도,개인,31,6289700,0,1
2026-07,(주)동연에스엔티,1차 금속제품 도매업,부산광역시,법인,85,36328460,0,0
2026-07,(주)예림타워,기타 운송장비 임대업,서울특별시,법인,53,23559560,1,0
2026-07,(주)애니셀,컴퓨터 프린터 제조업,경기도,법인,30,10657820,0,0
2026-07,호계중학교,BIZ_NO미존재사업장,울산광역시,법인,35,11908860,1,1
2026-07,주식회사화인소프트,응용 소프트웨어 개발 및 공급업,서울특별시,법인,34,13479980,1,0
2026-07,(주)선경이엔씨,아파트 건설업,경기도,법인,32,17480120,0,1
2026-07,(주)인강여객,시내버스 운송업 / 시외버스 운송업,인천광역시,법인,99,39612340,2,1
2026-07,경기관광개발주식회사,골프장 운영업,경기도,법인,32,11479100,1,0
2026-07,(주)달구벌버스,시내버스 운송업,대구광역시,법인,94,46182200,0,0
2026-07,（주）호림,비디오 및 기타 영상 기기 제조업,경기도,법인,30,10112800,0,1
2026-07,（주）혜영수산,원양 어업,부산광역시,법인,40,10729920,2,0
2026-07,(주)쿠프마케팅,응용 소프트웨어 개발 및 공급업,서울특별시,법인,141,58649360,4,2
2026-07,포스코지곡어린이집,BIZ_NO미존재사업장,경상북도,개인,55,12552640,2,1
2026-07,(주)네오스라이트,전구  램프 및 조명장치 도매업,경기도,법인,41,16309740,2,1
2026-07,(주)경희매니지먼트컴퍼니,응용 소프트웨어 개발 및 공급업,서울특별시,법인,66,11076280,1,2
2026-07,인천대학교소비자생활협동조합,기타 음ㆍ식료품 위주 종합 소매업,인천광역시,법인,46,12801420,3,1
2026-07,주식회사 멕텍,기타 반도체 소자 제조업,인천광역시,법인,33,10036060,0,1
2026-07,미래이앤시(주),배관 및 냉ㆍ난방 공사업,경기도,법인,79,31826080,2,5
2026-07,늘푸른직업재활원,위생용 종이제품 제조업,경기도,법인,30,5446620,1,0
2026-07,그린하이텍,기타 반도체 소자 제조업,경기도,개인,40,15427080,2,1
2026-07,(주)오씨에스도시건축사사무소,기타 인문 및 사회과학 연구개발업,서울특별시,법인,34,11378220,2,0
2026-07,(사단법인)인천뇌병변장애인인권협회,해당없음,인천광역시,법인,104,19225200,7,1
2026-07,(주)다쓰테크,축전지 제조업,충청북도,법인,49,19753340,0,2
2026-07,(주)신우피앤씨,부직포 및 펠트 제조업,경상북도,법인,51,17358640,1,1
2026-07,주식회사 동승호텔앤리조트,스키장 운영업,경기도,법인,66,19838100,5,3
2026-07,(주)늘푸른C&C,건축물 일반 청소업,경기도,법인,173,55393120,3,7
2026-07,(주)하우만,비주거용 부동산 관리업,경기도,법인,92,25526260,10,3
2026-07,주식회사유닉유니온,방송 프로그램 제작업,서울특별시,법인,40,16735400,1,0
2026-07,주식회사혜인정밀,해당없음,인천광역시,법인,48,17426100,1,1
2026-07,진해용원고등학교(직장),BIZ_NO미존재사업장,경상남도,법인,30,10255320,1,0
2026-07,블루팩키지 주식회사,골판지 제조업,충청북도,법인,33,11641360,4,2
2026-07,물금고등학교(행정실),BIZ_NO미존재사업장,경상남도,법인,32,10878500,1,0
2026-07,사단법인 서울특별시자원봉사센터,BIZ_NO미존재사업장,서울특별시,법인,37,13990120,1,1
2026-07,서울대학교 학부대학,BIZ_NO미존재사업장,서울특별시,법인,35,11186660,0,0
2026-07,(주)대한사람대한으로,기타 산업용 농산물 도매업,경기도,법인,44,15047460,1,0
2026-07,（주）가나에너지,산업용 냉장 및 냉동장비 제조업,경기도,법인,34,8774020,2,0
2026-07,성분도어버이집,BIZ_NO미존재사업장,부산광역시,법인,33,7696000,0,1
2026-07,울산장애인자립생활센터,BIZ_NO미존재사업장,울산광역시,법인,84,16528180,1,0
2026-07,월드테크(주),산업용 냉장 및 냉동장비 제조업,경기도,법인,30,11074200,0,0
2026-07,(주)대세 부산지점,고용 알선업,부산광역시,법인,50,16250360,0,30
2026-07,(주)다빈치커뮤니케이션,일반 영화 및 비디오물 제작업,서울특별시,법인,80,23291760,3,2
2026-07,크레팜(주),BIZ_NO미존재사업장,인천광역시,법인,66,21877280,4,0
2026-07,주식회사 토모,기타 반도체 소자 제조업,경기도,법인,37,13846720,3,1
2026-07,(주)동방파스텍,톱 및 호환성 공구 제조업,경기도,법인,77,26093500,1,3
2026-07,성남시내버스（주）택시사업부,택시 운송업,경기도,법인,109,45712020,0,0
2026-07,충북개발공사,비주거용 부동산 관리업,충청북도,법인,112,48297420,0,2
2026-07,(주)아이디어정보기술,해당없음,서울특별시,법인,45,16780520,0,1
2026-07,검단어울림장애인복지관,BIZ_NO미존재사업장,인천광역시,법인,79,17262900,1,1
2026-07,대구중구지역자활센터,건축물 일반 청소업,대구광역시,법인,51,7434620,4,1
2026-07,(주)유니하이테크,산업용 냉장 및 냉동장비 제조업,경기도,법인,37,9400500,0,0
2026-07,애보트메디칼코리아 유한회사,의료용품 도매업,서울특별시,법인,159,85590920,5,4
2026-07,한성산업（주）,산업용 냉장 및 냉동장비 제조업,경상북도,법인,40,12698460,1,3
2026-07,아시아투데이(주),잡지 및 정기 간행물 발행업,서울특별시,법인,185,69729460,6,3
2026-07,디젠스(주),그 외 자동차용 신품 부품 제조업,경기도,법인,141,78097540,0,3
2026-07,주식회사다소식품,건어물 및 젓갈류 도매업,전남광주통합특별시,법인,37,9035660,0,2
2026-07,주식회사엠에스씨,도장 및 기타 피막 처리업,인천광역시,법인,37,14807420,0,0
2026-07,(주)디에이취엠씨 영암지점,음ㆍ식료품 및 담배 가공기계 제조업,전남광주통합특별시,법인,64,24380880,0,1
2026-07,와석초등학교(직장),BIZ_NO미존재사업장,경기도,법인,30,8361540,0,1
2026-07,수영재가노인지원서비스센터,BIZ_NO미존재사업장,부산광역시,법인,42,6003800,0,0
2026-07,(주) 데이팜,의약품 도매업,전남광주통합특별시,법인,45,11304660,0,1
2026-07,(주)동일스위트,주거용 건물 건설업,부산광역시,법인,32,14591800,0,1
2026-07,강동구청장애인복지과,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,34,5939680,0,0
2026-07,사단법인충남장애인부모회서산지회,기타자영업,충청남도,법인,30,6716080,0,0
2026-07,광주광남중학교,BIZ_NO미존재사업장,경기도,법인,39,14473580,0,0
2026-07,(주)나우산업,그 외 자동차용 신품 부품 제조업,경상남도,법인,56,21289700,3,3
2026-07,경동대학교산학협력단,기타 인문 및 사회과학 연구개발업,강원특별자치도,법인,38,9417860,1,0
2026-07,전주내과영상의학과의원,일반의원,전북특별자치도,개인,62,18060540,2,1
2026-07,아이원어린이집,BIZ_NO미존재사업장,전남광주통합특별시,법인,30,5667080,1,1
2026-07,명덕고등학교,BIZ_NO미존재사업장,서울특별시,법인,33,13141760,1,0
2026-07,디씨피(주）,기타 인쇄관련 산업,인천광역시,법인,55,28455140,0,0
