업종,사업장수,월회전율중앙값,p25,p75,p90
산업설비  운송장비 및 공공장소 청소업,51,0.02459,0.01299,0.0463,0.08333
보험 대리 및 중개업,96,0.02441,0.01364,0.03571,0.05625
외항 화물 운송업,74,0.0244,0.00826,0.05106,0.06358
여행사업,69,0.02439,0.01087,0.06061,0.09434
기록매체 복제업,17,0.02439,0.01561,0.03169,0.04098
전세버스 운송업,43,0.02439,0.00649,0.04839,0.10227
간판 및 광고물 제조업,29,0.02439,0.0122,0.03226,0.05128
생활용 유리ㆍ요업ㆍ목재ㆍ금속제품 및 날붙이 도매업,31,0.02439,0.00901,0.05769,0.15957
설치용 및 위생용 플라스틱제품 제조업,19,0.02439,0.01111,0.03,0.03846
전자코일  변성기 및 기타 전자 유도자 제조업,31,0.02425,0.0,0.03961,0.05882
그 외 기타 분류 안된 전문  과학 및 기술 서비스업,236,0.02421,0.01235,0.04545,0.06746
경 인쇄업,18,0.02417,0.00682,0.03509,0.05814
모조 귀금속 및 모조 장신용품 제조업,10,0.02402,0.0,0.04167,0.15152
시장 조사 및 여론 조사업,46,0.024,0.01471,0.04043,0.09375
산업용 난방보일러 및 방열기 제조업,58,0.02399,0.01515,0.05195,0.09211
안경  사진장비 및 광학용품 도매업,25,0.02381,0.01538,0.0409,0.10897
그 외 기타 종합 소매업,13,0.02381,0.00678,0.03061,0.08065
포장 및 충전업,33,0.02381,0.00815,0.04,0.0678
금속 가구 제조업,22,0.02341,0.00893,0.04412,0.05882
기타 과실ㆍ채소 가공 및 저장 처리업,28,0.02331,0.0122,0.04,0.06383
공연시설 운영업,24,0.02329,0.01053,0.04848,0.19828
일반용 전기 조명장치 제조업,48,0.02316,0.0082,0.04348,0.06818
결혼 상담 및 준비 서비스업,8,0.02314,0.02069,0.04545,0.06667
기타 가정용 전기 기기 제조업,14,0.0231,0.0,0.03804,0.07447
면 방적업,11,0.02308,0.00826,0.02941,0.04348
컴퓨터 및 주변장치  소프트웨어 소매업,22,0.02302,0.01316,0.03571,0.05
세무사업,46,0.02298,0.01266,0.04688,0.09091
인물 사진 및 행사용 영상 촬영업,10,0.02293,0.01705,0.02564,0.27419
광고 영화 및 비디오물 제작업,19,0.02292,0.00847,0.04545,0.08824
자동차 엔진용 신품 부품 제조업,9,0.02282,0.00943,0.06061,0.50262
박물관 운영업,28,0.02273,0.0122,0.03409,0.06667
화물 운송 중개  대리 및 관련 서비스업,45,0.02273,0.01244,0.05,0.09677
주거용 건물 건설업,61,0.02273,0.01562,0.04444,0.06757
컴퓨터 및 주변 기기 수리업,31,0.02273,0.00909,0.03177,0.07576
플라스틱 선  봉  관 및 호스 제조업,23,0.02273,0.0082,0.03571,0.04688
낙농품 및 동ㆍ식물성 유지 도매업,9,0.02273,0.01613,0.04412,0.18864
음ㆍ식료품 및 담배 가공기계 제조업,13,0.02273,0.0,0.04478,0.04688
기타 소사장제,85,0.02273,0.01111,0.05,0.09434
기타 공학 연구개발업,18,0.02239,0.0,0.03604,0.125
용달 화물 자동차 운송업,37,0.02239,0.01376,0.03704,0.07143
애완 동물 장묘 및 보호 서비스업,160,0.02233,0.01316,0.04545,0.07647
기념품  관광 민예품 및 장식용품 소매업,8,0.02226,0.01724,0.0283,0.09664
자동차 차체용 신품 부품 제조업,24,0.02223,0.01333,0.05952,0.10811
솜 및 실 염색 가공업 / 직물  편조 원단 및 의복류,11,0.02222,0.0,0.03846,0.04545
육류 도축업(가금류 제외) / 가금류 도축업,50,0.02206,0.0122,0.03774,0.06522
치과병원,74,0.022,0.00806,0.04412,0.06923
증권 중개업,32,0.02198,0.01667,0.03667,0.04938
기타 산업용 기계 및 장비 도매업,85,0.02198,0.01,0.03571,0.06667
박판  합판 및 유사 적층판 제조업,12,0.02195,0.01163,0.3,0.33871
주형 및 금형 제조업,245,0.0219,0.00971,0.03571,0.0625
액체 연료 및 관련제품 도매업,23,0.02187,0.0,0.04369,0.05072
