자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,대신정보기술(주),유리 및 창호 공사업,서울특별시,법인,43,14733080,0,0
2026-07,본하이테크(주),그 외 자동차용 신품 부품 제조업,경기도,법인,50,19295100,1,1
2026-07,(주)케이티아이에스,무선 및 위성 통신업,서울특별시,법인,8282,2394222080,223,303
2026-07,주식회사 파마엔텍,기타 인문 및 사회과학 연구개발업,경기도,법인,59,21261360,4,5
2026-07,케이지이종합건설(주),아파트 건설업,부산광역시,법인,32,14207420,3,4
2026-07,금호농업협동조합,그 외 기타 금융 지원 서비스업,경상북도,법인,85,39029220,2,3
2026-07,주식회사유원,증류기  열 교환기 및 가스 발생기 제조업,전남광주통합특별시,법인,100,43478400,0,5
2026-07,천사케어 주간보호센터,BIZ_NO미존재사업장,경상북도,개인,32,6571620,4,3
2026-07,(주)대호데크,그 외 자동차용 신품 부품 제조업,경상북도,법인,38,11399500,0,1
2026-07,세안이엔씨주식회사/일용/용인 Cluster 1기 IBL CUB 전기공사-6,일반 전기 공사업,경기도,법인,211,93705060,54,1
2026-07,(주)창영테크팩,스크린 인쇄업,경기도,법인,48,16898740,6,5
2026-07,에이오아이코리아,BIZ_NO미존재사업장,경기도,법인,50,20084640,0,1
2026-07,국민은행(주),기타 금융 투자업,서울특별시,법인,14234,8006814360,149,307
2026-07,(주)웰템,산업용 냉장 및 냉동장비 제조업,경상남도,법인,210,62835180,18,70
2026-07,(주)신기로직스,그 외 자동차용 신품 부품 제조업,울산광역시,법인,52,19999040,1,0
2026-07,유한회사 에브라임이노베이션,부동산 중개 및 대리업,서울특별시,법인,62,14227720,5,16
2026-07,주식회사지비에프엔씨,비주거용 부동산 관리업,경기도,법인,38,11052980,4,4
2026-07,주식회사흥아로지스틱스,일반 창고업,서울특별시,법인,38,14675300,0,0
2026-07,참좋은벗,BIZ_NO미존재사업장,전북특별자치도,법인,124,24298600,0,4
2026-07,(주)키즈웰,빵류  과자류  당류  초콜릿 도매업,서울특별시,법인,43,16266660,0,0
2026-07,에스엠피 주식회사,그 외 자동차용 신품 부품 제조업,충청남도,법인,70,31306820,7,1
2026-07,코리아인스트루먼트(주),기타 엔지니어링 서비스업,서울특별시,법인,104,38106700,3,1
2026-07,주식회사 엘케이그룹,슈퍼마켓,충청북도,법인,75,30304980,1,9
2026-07,가평푸른숲요양병원,요양병원,경기도,개인,31,9974060,2,6
2026-07,주식회사 건우테크,BIZ_NO미존재사업장,경상남도,법인,86,32395560,0,1
2026-07,(주)세원하이텍,기타 반도체 소자 제조업,경상북도,법인,36,13421700,2,1
