업종,사업장수,월회전율중앙값
그 외 기타 분류 안된 화학제품 제조업,19,0.01667
그 외 기타 고무제품 제조업,25,0.01667
절삭 가공 및 유사 처리업,154,0.01667
유선 통신장비 제조업,250,0.01665
농업 및 임업용 기계 제조업,42,0.01658
의약품 도매업,134,0.0164
금속선 가공제품 제조업,134,0.0164
자동차 종합 수리업,34,0.0164
번역 및 통역 서비스업,31,0.01639
사무 및 회화용품 제조업,37,0.01639
기타,57,0.01634
일반 화물 자동차 운송업,74,0.01628
기타 절연선 및 케이블 제조업,58,0.01626
비금속류 원료 재생업,24,0.01626
기타 식품 첨가물 제조업,31,0.01613
천연 및 혼합 조제 조미료 제조업,69,0.01613
의료용 기구 소매업,11,0.01613
물질 성분 검사 및 분석업,8,0.01604
의료용품 도매업,40,0.01603
그 외 기타 금융 지원 서비스업,88,0.016
물질 검사  측정 및 분석 기구 제조업,189,0.016
비디오 및 기타 영상 기기 제조업,63,0.016
기타 도시 정기 육상 여객 운송업,14,0.01596
기타 비알코올 음료 제조업,32,0.01596
공작용 기계 및 장비 도매업,9,0.01596
기타모집수당 채권회수수당,10,0.01595
직물  편조 원단 및 의복류 염색 가공업,59,0.01592
핵반응기 및 증기보일러 제조업,20,0.01588
곡물 제분업,19,0.01587
통관 대리 및 관련서비스업,25,0.01587
가정용 유리제품 제조업,54,0.0158
한의약품 제조업,24,0.01575
그 외 자동차용 신품 부품 제조업,1506,0.01571
부직포 및 펠트 제조업,24,0.01564
라이터  연소물 및 흡연용품 제조업,14,0.01564
해당없음,1651,0.01562
금속 절삭기계 제조업,148,0.01562
항공 및 육상 화물 취급업,42,0.01562
기어 및 동력전달장치 제조업,42,0.01562
체조  육상 및 체력 단련용 장비 제조업,21,0.01562
타일 및 유사 비내화 요업제품 제조업,17,0.01562
자동차 신품 타이어 및 튜브 판매업,13,0.01562
제철업,21,0.01558
기타 물품 취급장비 제조업,90,0.01557
기타 기초 무기화학 물질 제조업,86,0.0155
체인화 편의점,20,0.01547
실내 경기장 운영업,10,0.01542
기타 직물제품 제조업,15,0.01538
골판지 제조업,97,0.01538
기타 무선 통신장비 제조업,9,0.01537
플라스틱 합성피혁 제조업,70,0.01533
침구 및 관련제품 제조업,35,0.01515
편조 원단 제조업,10,0.01515
위생용 종이제품 제조업,60,0.01508
방직용 섬유 및 실 도매업,8,0.01507
도시철도 운송업,13,0.01501
주철관 제조업,22,0.01496
의약용 화합물 및 항생물질 제조업,10,0.01493
잡지 및 정기 간행물 발행업,109,0.01493
가정용 세탁업,12,0.01491
지정 외 폐기물 수집  운반업,240,0.01471
기타 금융 투자업,222,0.01471
도장 및 기타 피막 처리업,135,0.01471
생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,29,0.01471
방송 프로그램 제작업,71,0.01471
비누 및 세정제 도매업,9,0.01471
세무사업(기장대리) / 기타 회계 관련 서비스업,9,0.01471
운송장비 조립용 플라스틱제품 제조업,9,0.01471
연성 및 기타 인쇄회로기판 제조업,8,0.01469
비주거용 건물 임대업(점포  자기땅),1405,0.01461
가정용 및 장식용 도자기 제조업,14,0.01452
기타 섬유  의복 및 가죽 가공기계 제조업,14,0.0145
건설 및 채광용 기계장비 제조업,36,0.0144
기타 화학 물질 및 화학제품 도매업,53,0.01439
옥외 및 전시 광고업,12,0.0143
동력식 수지 공구 제조업,91,0.01429
유압 기기 제조업,153,0.01429
트레일러 및 세미 트레일러 제조업,29,0.01429
곡물  곡분 및 가축 사료 소매업,19,0.01429
목재 도구 및 주방용 나무제품 제조업,13,0.01429
산업용 가스 제조업,14,0.01415
건물 및 토목 엔지니어링 서비스업(기술사),22,0.01415
전기용 기계ㆍ장비 및 관련 기자재 도매업,193,0.01408
산업용 오븐  노 및 노용 버너 제조업,16,0.01393
배합 사료 제조업,55,0.01389
제조 / 산업용강화플라스틱성형제품,47,0.01389
하수 처리업,53,0.01389
벽지 및 장판지 제조업,8,0.01375
지주회사,10,0.01371
