자료생성년월,사업장명,업종,시도,사업장형태,적용일자,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,제1.2구잠수기수산업협동조합,건어물 및 젓갈류 도매업,부산광역시,법인,1988-01-01,47,17202720,1,1
2026-07,진우정공,BIZ_NO미존재사업장,경상남도,개인,2013-12-01,53,16064320,2,8
2026-07,쿠우쿠우 창원점,한식 일반 음식점업,경상남도,개인,2023-12-11,40,9538180,0,5
2026-07,주식회사대원크리닝,가정용 세탁업,경상남도,법인,2013-07-16,38,7944380,0,1
2026-07,(주)스타존스(STAR JOHNS Co.  Ltd),액체 여과기 제조업,경기도,법인,2024-09-11,55,17417820,0,2
2026-07,(주)신라식품,기타 산업용 농산물 도매업,경상남도,법인,1993-10-18,37,14982360,0,0
2026-07,가톨릭중앙의료원(학),기타 인문 및 사회과학 연구개발업,서울특별시,법인,1999-11-01,1438,514297940,77,73
2026-07,(주)은성전장,기타 반도체 소자 제조업,충청남도,법인,2017-01-09,151,44425660,5,4
2026-07,태정산업(주),산업용 그 외 비경화 고무제품 제조업,인천광역시,법인,1996-08-01,33,11724640,0,0
2026-07,이엘씨에이한국(유),화장품 및 화장용품 도매업,서울특별시,법인,1992-02-21,1170,446122280,39,33
2026-07,유나이티드파슬서어비스컴패니,항공 여객 운송업,인천광역시,법인,1990-02-13,52,23852240,1,0
2026-07,대하산업개발(주)-(일용)증산동 삼표부지 주거복합 신축공사 공조설비공사,건물용 기계ㆍ장비 설치 공사업,서울특별시,법인,2024-02-16,60,25179060,18,1
2026-07,서울도솔학교,BIZ_NO미존재사업장,서울특별시,법인,2019-09-01,43,11282360,0,7
2026-07,모아한방병원,한방병원,서울특별시,개인,2022-01-01,37,10946400,2,2
2026-07,영인크로매스 주식회사 YOUNG IN Chromass Co.  Ltd.,물질 검사  측정 및 분석 기구 제조업,경기도,법인,1993-03-08,52,20200600,0,0
2026-07,동거창농협-공공형계절근로센터,국내은행,경상남도,법인,2026-03-16,42,8671000,20,0
2026-07,불스원서비스주식회사,BIZ_NO미존재사업장,서울특별시,법인,2011-12-21,118,31225120,1,5
2026-07,신가중학교(직장),BIZ_NO미존재사업장,전남광주통합특별시,법인,2004-03-01,32,11783720,0,0
2026-07,주식회사블루젠트,중고 자동차 판매업,경기도,법인,2016-04-01,51,18903560,5,2
2026-07,태성정공(주),일반 철물 제조업,경기도,법인,1995-02-24,30,8844120,0,0
2026-07,주식회사나성이앤에스,금속선 가공제품 제조업,전북특별자치도,법인,2015-12-01,76,29149380,3,0
2026-07,주식회사메디팹,의료용품 및 기타 의약 관련제품 제조업,서울특별시,법인,2016-02-02,45,19725340,3,1
2026-07,휴먼시스템주식회사,그 외 기타 분류 안된 사업 지원 서비스업,경기도,법인,2014-07-01,89,24642900,4,4
2026-07,(주)삼양건설,아파트 건설업,충청북도,법인,1999-07-15,39,18870860,4,5
2026-07,이누스주식회사(서울지점),그 외 기타 건축자재 도매업,서울특별시,법인,2020-05-04,61,26350740,0,1
2026-07,주식회사 비케이알,치킨 전문점,서울특별시,법인,2012-11-21,1041,394340200,14,35
2026-07,진도종합건설(주),기타 토목 시설물 건설업,충청남도,법인,2001-11-27,51,20778960,0,1
2026-07,주식회사윤준에스티,BIZ_NO미존재사업장,충청북도,법인,2015-05-01,67,28678820,5,3
2026-07,인스비전손해사정주식회사,보험 대리 및 중개업,서울특별시,법인,2020-07-08,279,82973740,4,7
2026-07,부산광역시개인택시운송사업조합,그 외 기타 종합 소매업,부산광역시,법인,1988-01-01,64,22635360,0,0
2026-07,(주)한국구조물안전연구원,기타 엔지니어링 서비스업,서울특별시,법인,2001-07-02,90,38831380,3,2
2026-07,비아비솔루션스코리아유한회사,유선 통신장비 제조업,서울특별시,법인,1992-01-01,38,22411200,0,0
2026-07,충청북도청(일반),비주거용 건물 임대업(점포  자기땅),충청북도,법인,1992-10-12,134,45478880,1,4
2026-07,가보주식회사,배전반 및 전기 자동제어반 제조업,경기도,법인,2003-10-13,52,22301880,1,0
2026-07,두암기독병원,요양병원,전남광주통합특별시,개인,2016-03-01,45,13122220,2,8
2026-07,(주)마크로케어,화장품 제조업,충청북도,법인,2003-07-01,60,18551100,0,0
2026-07,동광전자(주),유선 통신장비 제조업,경기도,법인,1996-04-01,48,20677060,0,0
2026-07,（주）대도엔지니어링-(일용)동북아LNGHub터미널1단계1차EPCC(전남)일반건설공사(플랜트,아파트 건설업,전남광주통합특별시,법인,2026-04-07,33,15654300,17,1
2026-07,무주농협,국내은행,전북특별자치도,법인,1988-01-01,87,36928780,0,1
2026-07,(주)대우건설 본사,아파트 건설업,서울특별시,법인,2000-12-27,4416,2698106580,146,65
2026-07,한국토지주택공사,주거용 건물 건설업,경상남도,법인,2009-10-01,8165,4117194720,19,58
2026-07,(주)웅진씽크빅,기타 인쇄물 출판업,경기도,법인,1988-01-01,1289,445298920,27,28
2026-07,경성정밀주식회사주촌지점,금속 절삭기계 제조업,경상남도,법인,2015-08-01,32,10471740,0,1
